,BG1,BG2,VG1,VG2,VG3,3D1,3D2,IGZO,,,HBMB,HBMV1,HBMV2
kgCO2e,Baseline (6F2 BG + Planar CMOS Peri),Baseline (6F2 BG + Planar CMOS Peri + EUV),4F2 (PNC),4F2 DWB (FF Peri),4F2 Mo WL,3D DRAM (64 layers) - NO CRYO,3D DRAM (64 layers) - WITH CRYO,IGZO,,,HBM (8 6F2 die + Planar CMOS logic),HBM (8 4F2 die + 10 nm logic),HBM (12 die + 4 nm logic)
Cemb / die,0.83342,0.85278,0.83203,1.35628,1.35387,1.71100,1.39325,0.89065,,Cemb/stack,6.74,6.62,10.08
Bit density (Gb/mm2),0.32,0.43,0.80,1.54,1.54,1.92,1.92,0.62,,Die density (Gb/mm2),0.149,0.4692913386,0.4692913386
energy simulated as,1a,1b,0a,0b,0b,0c,0c,1a,,Die area (mm2),107.09,110,110
die area (mm2),100.00000,,,,,,,,,stack height,8,8,12
Cemb/Gb,0.026,0.020,0.010,0.009,0.009,0.009,0.007,0.014,,Cemb/Gb,0.053,0.016,0.016
,,,,,,,,,,,,,
,,,,,,,,,,,,,
tC 50/50 (kgCO2e),,,,,,,,,,,,,
# inferences,,,,,,,,,,,,,
6.00E+09,3.54E-11,2.31E-11,8.57E-12,4.65E-12,4.64E-12,3.73E-12,3.46E-12,1.86E-11,,,1.92E-11,5.01E-12,4.27E-12
8.00E+09,3.43E-11,2.22E-11,8.14E-12,4.28E-12,4.28E-12,3.36E-12,3.15E-12,1.80E-11,,,1.70E-11,4.35E-12,3.60E-12
1.00E+10,3.37E-11,2.17E-11,7.88E-12,4.06E-12,4.06E-12,3.14E-12,2.97E-12,1.76E-11,,,1.56E-11,3.95E-12,3.19E-12
2.00E+10,3.24E-11,2.07E-11,7.36E-12,3.62E-12,3.62E-12,2.69E-12,2.61E-12,1.69E-11,,,1.30E-11,3.14E-12,2.37E-12
4.00E+10,3.17E-11,2.02E-11,7.10E-12,3.40E-12,3.40E-12,2.47E-12,2.43E-12,1.65E-11,,,1.17E-11,2.74E-12,1.97E-12
6.00E+10,3.15E-11,2.01E-11,7.01E-12,3.33E-12,3.32E-12,2.40E-12,2.37E-12,1.64E-11,,,1.12E-11,2.61E-12,1.83E-12
8.00E+10,3.14E-11,2.00E-11,6.97E-12,3.29E-12,3.29E-12,2.36E-12,2.34E-12,1.63E-11,,,1.10E-11,2.54E-12,1.76E-12
1.00E+11,3.13E-11,2.00E-11,6.94E-12,3.27E-12,3.27E-12,2.34E-12,2.32E-12,1.63E-11,,,1.09E-11,2.50E-12,1.72E-12
2.00E+11,3.12E-11,1.99E-11,6.89E-12,3.22E-12,3.22E-12,2.29E-12,2.28E-12,1.62E-11,,,1.06E-11,2.42E-12,1.64E-12
,,,,,,,,,,,,,
norm. tC/Gb/inf,,,,,,,,,,norm. tC/Gb/inf,,,
1.00E+07,1.00000,0.75999,0.39722,0.33571,0.33511,0.33844,0.27575,0.55529,,,1.0000000,0.3036982,0.3079847
2.00E+07,0.50590,0.38374,0.19991,0.16846,0.16816,0.16965,0.13830,0.28071,,,0.5009802,0.1520704,0.1541399
4.00E+07,0.25885,0.19562,0.10125,0.08483,0.08468,0.08525,0.06958,0.14342,,,0.2514704,0.0762565,0.0772175
6.00E+07,0.17650,0.13291,0.06836,0.05696,0.05686,0.05712,0.04667,0.09766,,,0.1683004,0.0509852,0.0515767
8.00E+07,0.13532,0.10156,0.05192,0.04302,0.04294,0.04305,0.03521,0.07478,,,0.1267154,0.0383495,0.0387563
1.00E+08,0.11062,0.08274,0.04206,0.03466,0.03460,0.03461,0.02834,0.06105,,,0.1017644,0.0307681,0.0310640
2.00E+08,0.06121,0.04512,0.02233,0.01793,0.01790,0.01773,0.01460,0.03359,,,0.0518625,0.0156054,0.0156795
4.00E+08,0.03650,0.02631,0.01246,0.00957,0.00955,0.00929,0.00773,0.01986,,,0.0269115,0.0080240,0.0079873
6.00E+08,0.02827,0.02004,0.00917,0.00678,0.00677,0.00648,0.00543,0.01529,,,0.0185945,0.0054968,0.0054232
8.00E+08,0.02415,0.01690,0.00753,0.00539,0.00538,0.00507,0.00429,0.01300,,,0.0144360,0.0042333,0.0041412
1.00E+09,0.02168,0.01502,0.00654,0.00455,0.00454,0.00423,0.00360,0.01163,,,0.0119409,0.0034751,0.0033720
2.00E+09,0.01674,0.01126,0.00457,0.00288,0.00288,0.00254,0.00223,0.00888,,,0.0069507,0.0019589,0.0018335
4.00E+09,0.01427,0.00938,0.00358,0.00204,0.00204,0.00170,0.00154,0.00751,,,0.0044556,0.0012007,0.0010643
6.00E+09,0.01344,0.00875,0.00325,0.00176,0.00176,0.00142,0.00131,0.00705,,,0.0036239,0.0009480,0.0008079
8.00E+09,0.01303,0.00844,0.00309,0.00162,0.00162,0.00127,0.00120,0.00682,,,0.0032080,0.0008217,0.0006797
1.00E+10,0.01278,0.00825,0.00299,0.00154,0.00154,0.00119,0.00113,0.00668,,,0.0029585,0.0007458,0.0006027
2.00E+10,0.01229,0.00787,0.00279,0.00137,0.00137,0.00102,0.00099,0.00641,,,0.0024595,0.0005942,0.0004489
4.00E+10,0.01204,0.00768,0.00269,0.00129,0.00129,0.00094,0.00092,0.00627,,,0.0022100,0.0005184,0.0003720
6.00E+10,0.01196,0.00762,0.00266,0.00126,0.00126,0.00091,0.00090,0.00623,,,0.0021268,0.0004931,0.0003463
8.00E+10,0.01192,0.00759,0.00264,0.00125,0.00125,0.00090,0.00089,0.00620,,,0.0020852,0.0004805,0.0003335
1.00E+11,0.01189,0.00757,0.00263,0.00124,0.00124,0.00089,0.00088,0.00619,,,0.0020603,0.0004729,0.0003258
2.00E+11,0.01185,0.00753,0.00261,0.00122,0.00122,0.00087,0.00087,0.00616,,,0.0020104,0.0004577,0.0003104
